"optimizer_step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/base__MAX"
"0","0","0","0","2.7630088238450665","2.7630088238450665","2.7630088238450665","0","0","0","2.569941103504922","2.569941103504922","2.569941103504922","0","0","0","2.729495537919879","2.729495537919879","2.729495537919879","0","0","0","2.6926514546345226","2.6926514546345226","2.6926514546345226","0","0","0","2.9124288903810975","2.9124288903810975","2.9124288903810975"
"200","201","201","201","2.721509057512889","2.721509057512889","2.721509057512889","201","201","201","2.534201073193773","2.534201073193773","2.534201073193773","201","201","201","2.7010028497795657","2.7010028497795657","2.7010028497795657","201","201","201","2.605475036956517","2.605475036956517","2.605475036956517","201","201","201","2.8194958851377128","2.8194958851377128","2.8194958851377128"
"400","402","402","402","2.7273309863134676","2.7273309863134676","2.7273309863134676","402","402","402","2.550094995845369","2.550094995845369","2.550094995845369","402","402","402","2.6990837962768826","2.6990837962768826","2.6990837962768826","402","402","402","2.6146727756177475","2.6146727756177475","2.6146727756177475","402","402","402","2.826281423530271","2.826281423530271","2.826281423530271"
"600","603","603","603","2.720097110962396","2.720097110962396","2.720097110962396","603","603","603","2.5442037227467615","2.5442037227467615","2.5442037227467615","603","603","603","2.6929398068962436","2.6929398068962436","2.6929398068962436","603","603","603","2.6128574960034547","2.6128574960034547","2.6128574960034547","603","603","603","2.8200719948551782","2.8200719948551782","2.8200719948551782"
"800","804","804","804","2.6973935352341813","2.6973935352341813","2.6973935352341813","804","804","804","2.5261733863235265","2.5261733863235265","2.5261733863235265","804","804","804","2.6817080543825207","2.6817080543825207","2.6817080543825207","804","804","804","2.6009377234079465","2.6009377234079465","2.6009377234079465","804","804","804","2.8033489274339796","2.8033489274339796","2.8033489274339796"
"1000","1005","1005","1005","2.6776409555114147","2.6776409555114147","2.6776409555114147","1005","1005","1005","2.5060986087237884","2.5060986087237884","2.5060986087237884","1005","1005","1005","2.6725783124798665","2.6725783124798665","2.6725783124798665","1005","1005","1005","2.588920401608907","2.588920401608907","2.588920401608907","1005","1005","1005","2.7899263726312835","2.7899263726312835","2.7899263726312835"
"1200","1206","1206","1206","2.6604949958645716","2.6604949958645716","2.6604949958645716","1206","1206","1206","2.487334064224446","2.487334064224446","2.487334064224446","1206","1206","1206","2.667013950312547","2.667013950312547","2.667013950312547","1206","1206","1206","2.578899243635268","2.578899243635268","2.578899243635268","1206","1206","1206","2.7766057328630187","2.7766057328630187","2.7766057328630187"
"1400","1407","1407","1407","2.650475097574007","2.650475097574007","2.650475097574007","1407","1407","1407","2.4766981303459277","2.4766981303459277","2.4766981303459277","1407","1407","1407","2.662700856699532","2.662700856699532","2.662700856699532","1407","1407","1407","2.5738120536851956","2.5738120536851956","2.5738120536851956","1407","1407","1407","2.77017336821767","2.77017336821767","2.77017336821767"
"1499","1507","1507","1507","2.6471966114457266","2.6471966114457266","2.6471966114457266","1507","1507","1507","2.4727040073610493","2.4727040073610493","2.4727040073610493","1507","1507","1507","2.660829866760479","2.660829866760479","2.660829866760479","1507","1507","1507","2.571175641590549","2.571175641590549","2.571175641590549","1507","1507","1507","2.7677192053254633","2.7677192053254633","2.7677192053254633"
