"Step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - event_split_fictsheets_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX"
"0","0.28024193548387094","0.28024193548387094","0.28024193548387094","0.3190524193548387","0.3190524193548387","0.3190524193548387","0.30544354838709675","0.30544354838709675","0.30544354838709675","0.3487903225806452","0.3487903225806452","0.3487903225806452","0.328125","0.328125","0.328125"
"50","0.2716733870967742","0.2716733870967742","0.2716733870967742","0.3240927419354839","0.3240927419354839","0.3240927419354839","0.3084677419354839","0.3084677419354839","0.3084677419354839","0.3387096774193548","0.3387096774193548","0.3387096774193548","0.31149193548387094","0.31149193548387094","0.31149193548387094"
"100","0.31350806451612906","0.31350806451612906","0.31350806451612906","0.39163306451612906","0.39163306451612906","0.39163306451612906","0.3654233870967742","0.3654233870967742","0.3654233870967742","0.3805443548387097","0.3805443548387097","0.3805443548387097","0.3407258064516129","0.3407258064516129","0.3407258064516129"
"150","0.3069556451612903","0.3069556451612903","0.3069556451612903","0.38961693548387094","0.38961693548387094","0.38961693548387094","0.3629032258064516","0.3629032258064516","0.3629032258064516","0.39818548387096775","0.39818548387096775","0.39818548387096775","0.34627016129032256","0.34627016129032256","0.34627016129032256"
"200","0.3064516129032258","0.3064516129032258","0.3064516129032258","0.3497983870967742","0.3497983870967742","0.3497983870967742","0.3553427419354839","0.3553427419354839","0.3553427419354839","0.3558467741935484","0.3558467741935484","0.3558467741935484","0.33669354838709675","0.33669354838709675","0.33669354838709675"
"250","0.3009072580645161","0.3009072580645161","0.3009072580645161","0.3684475806451613","0.3684475806451613","0.3684475806451613","0.35685483870967744","0.35685483870967744","0.35685483870967744","0.3538306451612903","0.3538306451612903","0.3538306451612903","0.3341733870967742","0.3341733870967742","0.3341733870967742"
"300","0.3119959677419355","0.3119959677419355","0.3119959677419355","0.35786290322580644","0.35786290322580644","0.35786290322580644","0.35131048387096775","0.35131048387096775","0.35131048387096775","0.3533266129032258","0.3533266129032258","0.3533266129032258","0.3407258064516129","0.3407258064516129","0.3407258064516129"
"350","0.3119959677419355","0.3119959677419355","0.3119959677419355","0.36743951612903225","0.36743951612903225","0.36743951612903225","0.35231854838709675","0.35231854838709675","0.35231854838709675","0.3649193548387097","0.3649193548387097","0.3649193548387097","0.3382056451612903","0.3382056451612903","0.3382056451612903"
"400","0.3130040322580645","0.3130040322580645","0.3130040322580645","0.3623991935483871","0.3623991935483871","0.3623991935483871","0.3487903225806452","0.3487903225806452","0.3487903225806452","0.34526209677419356","0.34526209677419356","0.34526209677419356","0.3331653225806452","0.3331653225806452","0.3331653225806452"
"450","0.30997983870967744","0.30997983870967744","0.30997983870967744","0.3533266129032258","0.3533266129032258","0.3533266129032258","0.35080645161290325","0.35080645161290325","0.35080645161290325","0.35131048387096775","0.35131048387096775","0.35131048387096775","0.3382056451612903","0.3382056451612903","0.3382056451612903"
"499","0.31149193548387094","0.31149193548387094","0.31149193548387094","0.3503024193548387","0.3503024193548387","0.3503024193548387","0.3477822580645161","0.3477822580645161","0.3477822580645161","0.3548387096774194","0.3548387096774194","0.3548387096774194","0.33669354838709675","0.33669354838709675","0.33669354838709675"
