"Step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - style_strat_doc_split_fictions_train_ds_valct1_styleNone_seed1234_mcq_topk4/acc__MAX"
"0","0.3235986811116345","0.3235986811116345","0.3235986811116345","0.34762129062647196","0.34762129062647196","0.34762129062647196","0.28450306170513423","0.28450306170513423","0.28450306170513423","0.3075836081017428","0.3075836081017428","0.3075836081017428","0.3316062176165803","0.3316062176165803","0.3316062176165803"
"50","0.33820065944418276","0.33820065944418276","0.33820065944418276","0.3410268487988695","0.3410268487988695","0.3410268487988695","0.2736693358455016","0.2736693358455016","0.2736693358455016","0.3089967027790862","0.3089967027790862","0.3089967027790862","0.31794630240226096","0.31794630240226096","0.31794630240226096"
"100","0.401789919924635","0.401789919924635","0.401789919924635","0.37447008949599625","0.37447008949599625","0.37447008949599625","0.3127649552520019","0.3127649552520019","0.3127649552520019","0.3702308054639661","0.3702308054639661","0.3702308054639661","0.3424399434762129","0.3424399434762129","0.3424399434762129"
"150","0.46208195949128594","0.46208195949128594","0.46208195949128594","0.4597268016957136","0.4597268016957136","0.4597268016957136","0.32642487046632124","0.32642487046632124","0.32642487046632124","0.41026848798869525","0.41026848798869525","0.41026848798869525","0.3829486575600565","0.3829486575600565","0.3829486575600565"
"200","0.46632124352331605","0.46632124352331605","0.46632124352331605","0.4752708431464908","0.4752708431464908","0.4752708431464908","0.35138954309938764","0.35138954309938764","0.35138954309938764","0.4267545925577014","0.4267545925577014","0.4267545925577014","0.39378238341968913","0.39378238341968913","0.39378238341968913"
"250","0.4894017899199246","0.4894017899199246","0.4894017899199246","0.490814884597268","0.490814884597268","0.490814884597268","0.36787564766839376","0.36787564766839376","0.36787564766839376","0.42581252943947245","0.42581252943947245","0.42581252943947245","0.4060292039566651","0.4060292039566651","0.4060292039566651"
"300","0.5068299576071597","0.5068299576071597","0.5068299576071597","0.4884597268016957","0.4884597268016957","0.4884597268016957","0.3829486575600565","0.3829486575600565","0.3829486575600565","0.44653791804050874","0.44653791804050874","0.44653791804050874","0.4121526142251531","0.4121526142251531","0.4121526142251531"
"350","0.503061705134244","0.503061705134244","0.503061705134244","0.5105982100800753","0.5105982100800753","0.5105982100800753","0.39425341497880356","0.39425341497880356","0.39425341497880356","0.4597268016957136","0.4597268016957136","0.4597268016957136","0.4220442769665568","0.4220442769665568","0.4220442769665568"
"400","0.4997644842204428","0.4997644842204428","0.4997644842204428","0.48327837965143666","0.48327837965143666","0.48327837965143666","0.4013188883655205","0.4013188883655205","0.4013188883655205","0.4531323598681112","0.4531323598681112","0.4531323598681112","0.41592086669806877","0.41592086669806877","0.41592086669806877"
"450","0.49788035798398494","0.49788035798398494","0.49788035798398494","0.4898728214790391","0.4898728214790391","0.4898728214790391","0.39802166745171924","0.39802166745171924","0.39802166745171924","0.45690061234102686","0.45690061234102686","0.45690061234102686","0.41921808761187","0.41921808761187","0.41921808761187"
"499","0.5011775788977861","0.5011775788977861","0.5011775788977861","0.49269901083372586","0.49269901083372586","0.49269901083372586","0.39425341497880356","0.39425341497880356","0.39425341497880356","0.45642958078191237","0.45642958078191237","0.45642958078191237","0.4225153085256712","0.4225153085256712","0.4225153085256712"
