"Step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - event_split_fictions_webtext_train_ds_valratio0.33_seed1234_mcq_topk4/acc__MAX"
"0","0.3190524193548387","0.3190524193548387","0.3190524193548387","0.3487903225806452","0.3487903225806452","0.3487903225806452","0.28024193548387094","0.28024193548387094","0.28024193548387094","0.30544354838709675","0.30544354838709675","0.30544354838709675","0.328125","0.328125","0.328125"
"50","0.328125","0.328125","0.328125","0.3387096774193548","0.3387096774193548","0.3387096774193548","0.2711693548387097","0.2711693548387097","0.2711693548387097","0.3079637096774194","0.3079637096774194","0.3079637096774194","0.3180443548387097","0.3180443548387097","0.3180443548387097"
"100","0.3840725806451613","0.3840725806451613","0.3840725806451613","0.3588709677419355","0.3588709677419355","0.3588709677419355","0.3125","0.3125","0.3125","0.35181451612903225","0.35181451612903225","0.35181451612903225","0.3346774193548387","0.3346774193548387","0.3346774193548387"
"150","0.4259072580645161","0.4259072580645161","0.4259072580645161","0.43044354838709675","0.43044354838709675","0.43044354838709675","0.3190524193548387","0.3190524193548387","0.3190524193548387","0.3956653225806452","0.3956653225806452","0.3956653225806452","0.36088709677419356","0.36088709677419356","0.36088709677419356"
"200","0.4329637096774194","0.4329637096774194","0.4329637096774194","0.43649193548387094","0.43649193548387094","0.43649193548387094","0.3553427419354839","0.3553427419354839","0.3553427419354839","0.42338709677419356","0.42338709677419356","0.42338709677419356","0.37348790322580644","0.37348790322580644","0.37348790322580644"
"250","0.45514112903225806","0.45514112903225806","0.45514112903225806","0.4495967741935484","0.4495967741935484","0.4495967741935484","0.37651209677419356","0.37651209677419356","0.37651209677419356","0.4122983870967742","0.4122983870967742","0.4122983870967742","0.38306451612903225","0.38306451612903225","0.38306451612903225"
"300","0.4586693548387097","0.4586693548387097","0.4586693548387097","0.44556451612903225","0.44556451612903225","0.44556451612903225","0.3790322580645161","0.3790322580645161","0.3790322580645161","0.4254032258064516","0.4254032258064516","0.4254032258064516","0.3850806451612903","0.3850806451612903","0.3850806451612903"
"350","0.45060483870967744","0.45060483870967744","0.45060483870967744","0.4627016129032258","0.4627016129032258","0.4627016129032258","0.3845766129032258","0.3845766129032258","0.3845766129032258","0.4329637096774194","0.4329637096774194","0.4329637096774194","0.3946572580645161","0.3946572580645161","0.3946572580645161"
"400","0.4621975806451613","0.4621975806451613","0.4621975806451613","0.44506048387096775","0.44506048387096775","0.44506048387096775","0.3850806451612903","0.3850806451612903","0.3850806451612903","0.4259072580645161","0.4259072580645161","0.4259072580645161","0.38911290322580644","0.38911290322580644","0.38911290322580644"
"450","0.45110887096774194","0.45110887096774194","0.45110887096774194","0.44606854838709675","0.44606854838709675","0.44606854838709675","0.3840725806451613","0.3840725806451613","0.3840725806451613","0.4269153225806452","0.4269153225806452","0.4269153225806452","0.39264112903225806","0.39264112903225806","0.39264112903225806"
